FID,OBJECTID,NAME,STATE_ABBR,STATE_FIPS,ORDER_ADM,MONTH_ADM,DAY_ADM,YEAR_ADM,TYPE,POP,SQ_MILES,PRIM_MILES,Shape_Leng,Shape__Area,Shape__Length
1,1,Arkansas,AR,5,25,June,15,1836,Land,2915918,53181.2,1329.6,21.73708164,13.58615471,21.73708164
2,2,Arizona,AZ,4,48,February,14,1912,Land,6392017,113990.1,1487.7,23.88971452,28.91914457,23.88971451
3,3,Colorado,CO,8,38,August,1,1876,Land,5029196,104092,1304.6,22.0171039,28.03899813,22.01710391
4,4,Iowa,IA,19,29,December,28,1846,Land,3046355,56268.6,1127.3,20.1320641,15.85645719,20.1320641
5,5,Illinois,IL,17,21,December,3,1818,Land,12830632,56339.8,1318.5,21.66021092,15.40847716,21.66021093
6,7,Indiana,IN,18,19,December,11,1816,Land,6483802,36184,1070.5,17.29250414,9.872661028,17.29250414
7,9,Kansas,KS,20,34,January,29,1861,Land,2853118,82277.2,1244.6,21.40975495,22.00454128,21.40975495
8,10,Missouri,MO,29,24,August,10,1821,Land,5988927,69705.4,1469.8,24.68174864,18.61469487,24.68174863
9,11,Nebraska,NE,31,37,March,1,1867,Land,1826341,77348.2,1356.6,24.23254381,21.61405861,24.23254381
10,12,New Mexico,NM,35,47,January,6,1912,Land,2059179,121586.6,1486.3,23.67389958,30.89229849,23.67389957
11,13,Nevada,NV,32,36,October,31,1864,Land,2700551,110579.2,1473.6,23.85374526,29.94253001,23.85374526
12,14,Oklahoma,OK,40,46,November,16,1907,Land,3751351,69888.4,1636.1,26.97881279,18.00250644,26.9788128
13,16,Tennessee,TN,47,16,June,1,1796,Land,6346105,42144,1297.5,22.35909365,10.88951668,22.35909365
14,17,Utah,UT,49,45,January,4,1896,Land,2763885,84897.3,1227.1,20.00087055,22.97472934,20.00087055
15,18,West Virginia,WV,54,35,June,20,1863,Land,1852994,24224.1,1221.8,20.03873411,6.492254404,20.0387341
16,19,Idaho,ID,16,43,July,3,1890,Land,1567582,83576.3,1819.7,30.90847025,24.45919496,30.90847026
17,21,Montana,MT,30,41,November,8,1889,Land,989415,147046.5,1950.2,36.42569318,45.08109829,36.42569318
